df$ID_FINAL,1,2,3
2,0.529959460358119,0.0226251373397736,0.447328913167312
4,0.85379878816447,0.0508250359199966,0.0952449576689842
6,0.796850536248779,0,0.203040954366346
7,0.810856803814269,0,0.189036768775967
8,0.0600543002384747,0.3649572557743,0.575003819603462
10,0.239444739001335,0.223779369598369,0.536749886014138
11,0.471167254857189,0.528835920208772,0
12,0.378528780710826,0.16683275856597,0.454583419557276
13,0,0.55938839701255,0.440729829444077
14,0.399514371523573,0,0.600436382805045
15,0.639994056058118,0.115587323375268,0.244323791620572
18,0.999861794834718,0,0
20,0.595897322269103,0.175888929043729,0.228131742454578
21,0.759906504020516,0.235496886032436,0.00450370029495396
23,0.800352103140151,0,0.199539907968751
27,0.0967355754893843,0.313774144699031,0.589497520184217
28,0.592930553783433,0.247882028112118,0.15911626856052
31,0.599260626904729,0.400705150522817,0
32,0.448222504603945,0.310862573578965,0.240872362052249
33,0.57028274015182,0.200462412809361,0.229182291135029
35,0,0.0883717933976002,0.911637623756199
36,0.691333981439248,0.308604056356368,0
38,0.999872979399474,0,0
39,0.40983494307554,0.31417905172085,0.275946219795126
42,0.0747578326228073,0.381111001047517,0.544146189216507
44,0.809385371852879,0.0676009874773962,0.122893536419753
46,0,1.00025195731123,0
47,0,0.314952325549047,0.685101205572628
49,0.585084423246127,0.178889701731362,0.235945546059171
50,0.330248550459539,0.249735018529976,0.419978283272103
53,0.0080851620082197,0.443760015458575,0.548190145437263
54,0.518039074952397,0.256562019466972,0.225341803356598
55,0.655190097763139,0.121335522575868,0.223379365499446
56,0.274694586818529,0.226812964314214,0.498471132959996
57,0.783733952668105,0,0.216141227528848
59,0.659452266670188,0.189781218015899,0.150681095781335
62,0.559049389425115,0.190910872824088,0.249964342739379
63,0.0938513792659718,0.371939453932817,0.534231545740052
65,0.699101346338318,0.185378275377174,0.115426075224629
66,0.279002432017036,0.405959965251958,0.315028085715574
67,0.819371464175328,0.0427223780923776,0.137779539533923
68,0.376913915718357,0.406823927404355,0.216243593479125
69,0,0.648871263890796,0.351257181366863
70,0.61095776721845,0.388992342571569,0
71,0,0.134667974560203,0.865331112802898
72,0,0.37796668669616,0.622091766442109
73,0.208312189259589,0.435280059041192,0.356421040038079
74,0.709662616488347,0.0378661641595415,0.252357717812727
76,0.356921598970384,0.101012224328158,0.542005708812921
77,0.441040087029903,0.401239153411236,0.157690091045556
78,0.457922582212732,0.4778943269825,0.064169871959378
79,0.821877858616405,0.177696816610846,0.000314122951818413
80,0.543025858824526,0.420355466283473,0.0365801304491712
82,0.911657530963755,0,0.0882174965215273
83,0.0066542203460455,0.558780323167533,0.434611160510573
85,0.311869650877468,0.248500912309555,0.439596931194336
86,0.716107951468811,0.127092238277241,0.156695842440914
87,0.0852602998993571,0.423579069383921,0.491182018726483
88,0.191432445903156,0.712570965272777,0.0960454155520076
